Stop1 - [400,538]; Street17
Stop2 - [400,700]; Street35
Stop3 - [540,100]; Street9
Stop4 - [60,459]; Street8
Stop5 - [60,330]; Street6
Stop6 - [294,531]; Street18
Stop7 - [118,520]; Street7
Stop8 - [257,288]; Street2
Stop9 - [332,29]; Street19
Stop10 - [541,531]; Street15
Stop11 - [190,240]; Street2
Stop12 - [659,106]; Street13
Stop13 - [192,132]; Street23
Stop14 - [476,338]; Street14
Stop15 - [591,31]; Street12
Stop16 - [401,226]; Street11
Stop17 - [118,246]; Street4
Stop18 - [392,31]; Street19
Stop19 - [146,191]; Street3
Stop20 - [59,116]; Street22
Stop21 - [132,30]; Street21
Stop22 - [351,114]; Street1
Stop23 - [592,280]; Street32
Stop24 - [472,273]; Street25
Stop25 - [58,579]; Street26
Stop26 - [59,705]; Street29
Stop27 - [200,695]; Street28
Stop28 - [216,758]; Street27
Stop29 - [534,759]; Street34
Stop30 - [660,276]; Street31
Stop31 - [658,500]; Street33
Stop32 - [596,503]; Street24
Stop33 - [517,703]; Street36
Stop34 - [120,113]; Street37
Stop35 - [215,380]; Street10
