Stop1 - [400,538]; Street17
Stop2 - [400,700]; Street20
Stop3 - [540,100]; Street9
Stop4 - [60,459]; Street8
Stop5 - [60,330]; Street6
Stop6 - [294,531]; Street18
Stop7 - [118,520]; Street7
Stop8 - [257,288]; Street2
Stop9 - [258,31]; Street19
Stop10 - [541,531]; Street15
Stop11 - [190,240]; Street2
Stop12 - [659,106]; Street13
Stop13 - [192,132]; Street1
Stop14 - [476,338]; Street14
Stop15 - [591,31]; Street12
Stop16 - [401,226]; Street11
Stop17 - [118,246]; Street4
Stop18 - [427,32]; Street19
Stop19 - [146,191]; Street3
